,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4: Distribution Wires Down 2015-2019,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL WIRE-DOWN SUSTAINED OUTAGE DETAILS (2015-2019),,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRIBUTION CIRCUIT OUTAGES ONLY,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Including 2.5b ME Days, Transformer-Only, and Secondary & Service Conductor Wire-Down Outages; Excluding Fire Mitigation Outages))",,,,,,,,,,,,,,,,,,,,,,,,,,
Division,District Name,Feeder Name,Feeder #,Device,Oper #,Out Date,FNL,In Date,"In
Time",OIS #,Duration,Outage Level,Basic Cause,Supplemental Cause,CESO,C Min,"Open Point
Latitude","Open Point
Longitude",Fault Location,Weather,Failed Equipment,"Failed Equipment
Condition",Event #,"Const
Type",Sus/Mom,Tier
HUMBOLDT     ,GARBERVILLE     ,FRUITLAND-1141              ,192311141,RECLOSER     ,95324,20170514,1741,20170514,2039,1781963,178,Distribution Circuit      ,Vegetation                  ,Tree - fell into line                ,223,"26,806",40.28402,-123.87231,25 SPANS LD SIDE OF 95324                                                                           ,Partly Cloudy;32-90 F                                           ,"Conductor, Overhead         ","Broken, wire on ground      ",17-0047829,OH,Sus,Tier 2   
SONOMA       ,SANTA ROSA      ,SONOMA-1107                 ,042721107,OCB          ,1107/2                                            ,20181228,1501,20181228,1759,248960,178,Distribution Circuit      ,Vegetation                  ,Tree - branch fell on line           ,"1,699","69,602",38.27652,-122.46196,CORNER OF HWY 116 AND BONNETT                                                                       ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",18-0110978,OH,Sus,Non 2/3  
NORTH BAY    ,NORTH BAY       ,SAUSALITO-1102              ,042491102,FUSE         ,2033,20150208,2104,20150209,0001,1184185,177,Distribution Circuit      ,Vegetation                  ,Tree - branch fell on line           ,152,"26,904",37.85260,-122.48284,LD SIDE OF 2033                                                                                     ,Strong winds;32 - 90 F                                          ,"Conductor, Overhead         ","Broken, wire on object      ",15-0011829,OH,Sus,Non 2/3  
SIERRA       ,EL DORADO       ,DIAMOND SPRINGS-1103        ,152261103,JUMPER       ,WIRE ON GRD @ MTR# 100748027                      ,20160306,0116,20160306,0413,1420789,177,Distribution Circuit      ,Vegetation                  ,Tree - fell into line                ,228,"13,010",38.74440,-120.86834,WIRE ON GRD @ MTR# 100748027                                                                        ,"Overcast,Fog,Heavy Rain;32-90 F                                 ","Conductor, Overhead         ","Broken, wire on ground      ",16-0018115,OH,Sus,Non 2/3  
SONOMA       ,SANTA ROSA      ,FULTON-1102                 ,042561102,FUSE         ,13937,20160312,1541,20160312,1838,1429500,177,Distribution Circuit      ,Vegetation                  ,Tree - fell into line                ,4,708,38.50337,-122.75700,1SP LD SIDE OF FUSE 13937                                                                           ,"Overcast,Heavy Rain;32-90 F                                     ","Conductor, Overhead         ","Broken, wire on ground      ",16-0020806,OH,Sus,Non 2/3  
YOSEMITE     ,STANISLAUS      ,COTTLE-1704                 ,163711704,FUSE         ,3349,20170120,0730,20170120,1027,1653053,177,Distribution Circuit      ,Vegetation                  ,Tree - branch fell on line           ,251,"27,058",37.75913,-120.86542,AT MTR 1006404096                                                                                   ,"Overcast,Heavy Rain,Strong Winds;32-90 F                        ","Conductor, Overhead         ","Broken, wire on ground      ",17-0011316,OH,Sus,Non 2/3  
HUMBOLDT     ,UKIAH           ,FORT BRAGG A-1101           ,042761101,TRANSFORMER  ,214992166681,20191129,1023,20191129,1320,723565,177,Transformer only          ,Vegetation                  ,Tree - fell into line                ,1,177,39.48416,-123.77550,"Garcia, Dan/T1260-K3467: 32567 mill crk                                                             ",Clear;32-90 F                                                   ,Service conductor           ,"Broken, wire on ground      ",19-0131087,OH,Sus,Tier 2   
STOCKTON     ,DELTA           ,HAMMER-1104                 ,163301104,FUSE         ,17747,20150407,1156,20150407,1452,1214812,176,Distribution Circuit      ,Vegetation                  ,Tree - grew into line                ,35,"6,160",38.00683,-121.30825,416 E. SWAIN RD                                                                                     ,Rain;32 - 90 F                                                  ,Secondary                   ,"Broken, wire on ground      ",15-0024870,OH,Sus,Non 2/3  
SONOMA       ,SANTA ROSA      ,MOLINO-1101                 ,042571101,FUSE         ,61891,20150626,1416,20150626,1712,1257279,176,Distribution Circuit      ,Vegetation                  ,Tree - fell into line                ,58,"9,020",38.40506,-122.83884,Galea/3472: 7942 JUANITA CT                                                                         ,Clear;32 - 90 F                                                 ,Secondary                   ,"Broken, wire on ground      ",15-0043628,OH,Sus,Non 2/3  
YOSEMITE     ,STANISLAUS      ,RACETRACK-1704              ,163761704,FUSE         ,S1341                                             ,20160218,1049,20160218,1345,1408303,176,Distribution Circuit      ,Vegetation                  ,Tree - branch fell on line           ,113,"10,966",37.96009,-120.45193,MTR# 1004734206                                                                                     ,"Overcast,Drizzle;32-90 F                                        ","Conductor, Overhead         ","Broken, wire on ground      ",16-0013806,OH,Sus,Tier 2   
STOCKTON     ,DELTA           ,STAGG-1101                  ,162421101,FUSE         ,D7785                                             ,20170918,1527,20170918,1823,1881170,176,Distribution Circuit      ,Vegetation                  ,Tree - grew into line                ,83,"14,608",37.97320,-121.34181,3615 KIRK AVE BACK YARD                                                                             ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",17-0079783,OH,Sus,Non 2/3  
NORTH VALLEY ,GLENN           ,LOGAN CREEK-2102            ,103142102,FUSE         ,867,20171008,0905,20171008,1201,1892987,176,Distribution Circuit      ,Vegetation                  ,Tree - fell into line                ,18,"3,072",39.62535,-122.21592,@MTR 1010042577                                                                                     ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",17-0085032,OH,Sus,Non 2/3  
SIERRA       ,PLACER          ,HALSEY-1101                 ,152241101,RECLOSER     ,1704,20180301,1205,20180301,1501,34724,176,Distribution Circuit      ,Vegetation                  ,Tree - branch fell on line           ,430,"29,780",38.99458,-121.02613,1850 MEADOW VISTA RD & LAREDO                                                                       ,"Overcast,Heavy Rain;32-90 F                                     ","Conductor, Overhead         ","Broken, wire on ground      ",18-0018588,OH,Sus,Tier 2   
SACRAMENTO   ,YOLO            ,WOODLAND-1102               ,062031102,TRANSFORMER  ,220634637109,20180709,2024,20180709,2320,127613,176,Transformer only          ,Vegetation                  ,Tree - branch fell on line           ,4,704,38.68529,-121.77934,"HODGES, JOHN / T-MAN: SERVICE DROP TO 6 FISKE AVE                                                   ",Clear;32-90F                                                    ,"Conductor, Overhead         ","Broken, wire on ground      ",18-0058126,OH,Sus,Non 2/3  
NORTH VALLEY ,SHASTA          ,JESSUP-1103                 ,103441103,JUMPER       ,WIRE DOWN LD SIDE OF 9893                         ,20190220,1440,20190220,1736,319841,176,Distribution Circuit      ,Vegetation                  ,Tree - fell into line                ,1,176,40.48098,-122.29943,3 LD SIDE OF 9893                                                                                   ,Overcast;32-90 F                                                ,"Conductor, Overhead         ","Broken, wire on ground      ",19-0026546,OH,Sus,Tier 2   
HUMBOLDT     ,UKIAH           ,LUCERNE-1103                ,043351103,FUSE         ,4755,20190515,1940,20190515,2236,381296,176,Distribution Circuit      ,Vegetation                  ,Tree - fell into line                ,82,"14,432",39.13059,-122.85472,MTR 1008984537                                                                                      ,"Overcast,Heavy Rain;32-90 F                                     ","Conductor, Overhead         ","Broken, wire on ground      ",19-0052312,OH,Sus,Tier 2   
NORTH VALLEY ,PARADISE        ,ORO FINO-1101               ,103031101,OCB          ,OCB                                               ,20151213,0856,20151213,1151,1360571,175,Distribution Circuit      ,Vegetation                  ,Tree - fell into line                ,"2,493","190,854",39.87168,-121.61095,KENNEDY/3947: madonna ct MTR#1007905424                                                             ,"Overcast,Heavy Rain,Strong Winds;32-90 F                        ","Conductor, Overhead         ","Broken, wire on ground      ",15-0084609,OH,Sus,Tier 3   
NORTH VALLEY ,CHICO           ,SYCAMORE CREEK-1104         ,102971104,FUSE         ,95493,20160929,2035,20160929,2330,1550247,175,Distribution Circuit      ,Vegetation                  ,Tree - branch fell on line           ,6,"1,048",39.74014,-121.83290,1 SPAN LD SIDE OF MTR  1009480580                                                                   ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",16-0068609,OH,Sus,Non 2/3  
SIERRA       ,PLACER          ,TAMARACK-1101               ,152291101,FUSE         ,6619,20170113,1624,20170113,1919,1642833,175,Distribution Circuit      ,Vegetation                  ,Tree - fell into line                ,19,"3,325",39.31801,-120.45458,3 SP SS OF 6637                                                                                     ,Clear;Below 32 F                                                ,"Conductor, Overhead         ","Broken, wire on ground      ",17-0008851,OH,Sus,Tier 2   
YOSEMITE     ,YOSEMITE        ,CHOWCHILLA-1101             ,254101101,TRANSFORMER  ,320674621791,20191127,1235,20191127,1530,721530,175,Transformer only          ,Vegetation                  ,Tree - bark fell into line           ,2,350,37.09826,-120.26919,"WHEELER, BRIAN // 4431: 15337 ave 24                                                                ","Overcast,Drizzle;32-90 F                                        ",Service conductor           ,"Broken, wire on ground      ",19-0130434,OH,Sus,Non 2/3  
HUMBOLDT     ,FORTUNA         ,RIO DELL-1102               ,192251102,FUSE         ,1959,20151017,1526,20151017,1820,1324289,174,Distribution Circuit      ,Vegetation                  ,Tree - fell into line                ,1,174,40.33695,-124.03058,LOAD SIDE OF MTR #1008278597                                                                        ,"Overcast,Fog,Rain;32-90 F                                       ",Pole-Wood                   ,"Broken, wire on ground      ",15-0071320,OH,Sus,Tier 2   
HUMBOLDT     ,UKIAH           ,FORT BRAGG A-1102           ,042761102,JUMPER       ,WIRE DOWN ON GROUND BROKEN 12 SPANS S/O 3969      ,20160425,1541,20160425,1835,1458858,174,Distribution Circuit      ,Vegetation                  ,Tree - fell into line                ,60,"10,440",39.37489,-123.77371,12 SPANS SOUTH OF 3969                                                                              ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",16-0031415,OH,Sus,Tier 2   
SONOMA       ,SANTA ROSA      ,SALMON CREEK-1101           ,043161101,FUSE         ,8859,20170120,0852,20170120,1146,1653353,174,Distribution Circuit      ,Vegetation                  ,Tree - fell into line                ,2,348,38.34518,-123.00862, 4/S/SS/OF 8859                                                                                     ,"Overcast,Fog;32-90 F                                            ","Conductor, Overhead         ","Broken, wire on ground      ",17-0011361,OH,Sus,Tier 2   
FRESNO       ,FRESNO          ,ASHLAN AVE-1114             ,252051114,TRANSFORMER  ,417613953223,20170327,1716,20170327,2010,1736874,174,Transformer only          ,Vegetation                  ,Tree - fell into line                ,22,"3,828",36.79258,-119.81626,"Hatch, Heath 559-470-4210: 347 W HAMPTON WAY                                                        ",Partly Cloudy;32-90 F                                           ,Secondary                   ,"Broken, wire on ground      ",17-0034226,OH,Sus,Non 2/3  
FRESNO       ,FRESNO          ,GUERNSEY-1106               ,252661106,FUSE         ,8981F                                             ,20170330,1514,20170330,1808,1739762,174,Distribution Circuit      ,Vegetation                  ,Tree - branch fell on line           ,39,"6,786",36.25481,-119.70723, 2 SPANS EAST OF 8387F                                                                              ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",17-0035185,OH,Sus,Non 2/3  
CENTRAL COAST,HOLLISTER       ,SAN JUSTO-1101              ,183181101,OTHER        ,WIRE DWN 10 SP LD SIDE OF 4245                    ,20170724,1418,20170724,1712,1838852,174,Distribution Circuit      ,Vegetation                  ,Tree - fell into line                ,27,"4,596",36.89361,-121.60303,10 SP LD SIDE OF 4245                                                                               ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",17-0065086,OH,Sus,Tier 2   
HUMBOLDT     ,WILLOW CREEK    ,WILLOW CREEK-1101           ,192171101,TRANSFORMER  ,115489160280,20180721,1623,20180721,1917,137256,174,Transformer only          ,Vegetation                  ,Tree - branch fell on line           ,6,"1,044",40.97652,-123.63469,MTR#1008025046                                                                                      ,Clear;32-90F                                                    ,Secondary                   ,"Broken, wire on ground      ",18-0062360,OH,Sus,Tier 2   
NORTH VALLEY ,SHASTA          ,GIRVAN-1102                 ,103401102,TRIP-SAVER   ,55307,20190225,1102,20190225,1356,322965,174,Distribution Circuit      ,Vegetation                  ,Tree - fell into line                ,101,"5,089",40.51957,-122.34939,2 SPANS LOADSIDE ON SINGLE PHASE HARDTAP                                                            ,"Overcast,Rain,Strong Winds;32-90 F                              ","Conductor, Overhead         ","Broken, wire on ground      ",19-0027799,OH,Sus,Non 2/3  
YOSEMITE     ,STANISLAUS      ,CURTIS-1704                 ,163351704,FUSE         ,22357,20190409,1454,20190409,1748,356832,174,Distribution Circuit      ,Vegetation                  ,Tree - fell into line                ,4,696,37.97987,-120.32985,"SIUDZINSKI, MARK: 14381 edgemont acres                                                              ",Partly Cloudy;32-90 F                                           ,"Conductor, Overhead         ","Broken, wire on ground      ",19-0041006,OH,Sus,Tier 2   
HUMBOLDT     ,FORTUNA         ,NEWBURG-1132                ,192151132,FUSE         ,4049,20191219,1328,20191219,1622,746417,174,Distribution Circuit      ,Vegetation                  ,Tree - fell into line                ,139,"15,571",40.59938,-124.15666,@MTR1007876466                                                                                      ,Partly Cloudy;32-90 F                                           ,"Conductor, Overhead         ","Broken, wire on ground      ",19-0137232,OH,Sus,Non 2/3  
HUMBOLDT     ,EUREKA          ,HARRIS-1108                 ,192431108,RECLOSER     ,4674,20160112,2015,20160112,2308,1382392,173,Distribution Circuit      ,Vegetation                  ,Tree - branch fell on line           ,"2,077","83,346",40.77993,-124.14454,"HANSON, SCOTT 707-834-6310: 2112 HEMLOCK ST, EUREKA                                                 ","Overcast,Rain;32-90 F                                           ","Conductor, Overhead         ","Broken, wire on ground      ",16-0004884,OH,Sus,Non 2/3  
CENTRAL COAST,MONTEREY        ,VIEJO-2203                  ,182852203,FUSE         ,2885,20161016,1039,20161016,1332,1562409,173,Distribution Circuit      ,Vegetation                  ,Tree - branch fell on line           ,79,"13,667",36.54230,-121.92996,3 LD SIDE OF 2885                                                                                   ,"Overcast,Rain;32-90 F                                           ","Conductor, Overhead         ","Broken, wire on ground      ",16-0072823,OH,Sus,Non 2/3  
LOS PADRES   ,PASO ROBLES     ,ATASCADERO-1101             ,182541101,FUSE         ,32723,20170108,0942,20170108,1235,1624385,173,Distribution Circuit      ,Vegetation                  ,Tree - fell into line                ,5,865,35.47441,-120.66416,3 SPANS LOAD SIDE                                                                                   ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",17-0005152,OH,Sus,Non 2/3  
SAN JOSE     ,SAN JOSE        ,LLAGAS-2105                 ,083182105,RECLOSER     ,XR144                                             ,20170110,1607,20170110,1900,1634426,173,Distribution Circuit      ,Vegetation                  ,Tree - fell into line                ,"1,554","159,993",37.00090,-121.56586,4 S/N OF 20173                                                                                      ,"Overcast,Heavy Rain;32-90 F                                     ","Conductor, Overhead         ","Broken, wire on ground      ",17-0006819,OH,Sus,Non 2/3  
YOSEMITE     ,STANISLAUS      ,RACETRACK-1703              ,163761703,RECLOSER     ,8120,20170407,2158,20170408,0051,1752019,173,Distribution Circuit      ,Vegetation                  ,Tree - fell into line                ,421,"72,833",38.02535,-120.40499,21862 SAWMILL FLAT RD                                                                               ,"Overcast,Rain;32-90 F                                           ","Conductor, Overhead         ",On Ground                   ,17-0038164,OH,Sus,Tier 2   
EAST BAY     ,CENTRAL         ,OAKLAND J-1118              ,012091118,OTHER        ,WIRE DOWN 92ND AVE & PLYMOUTH                     ,20181225,1518,20181225,1811,247172,173,Distribution Circuit      ,Vegetation                  ,Tree - palm frond fell into line     ,644,"83,764",37.75026,-122.17058,"92ND AVE & PLYMOUTH ST, OAKLAND                                                                     ",Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",18-0110663,OH,Sus,Non 2/3  
STOCKTON     ,MOTHER LODE     ,MARTELL-1102                ,163011102,FUSE         ,1045,20190105,1247,20190105,1540,254070,173,Distribution Circuit      ,Vegetation                  ,Tree - fell into line                ,99,"17,127",38.36366,-120.77540,4 SPANS LD SIDE OF 1440 JACKSON RD                                                                  ,"Overcast,Rain;32-90 F                                           ","Conductor, Overhead         ","Broken, wire on ground      ",19-0004754,OH,Sus,Non 2/3  
STOCKTON     ,MOTHER LODE     ,PINE GROVE-1102             ,163751102,FUSE         ,L3679                                             ,20191127,0657,20191127,0950,720348,173,Distribution Circuit      ,Vegetation                  ,Tree - fell into line                ,153,"25,845",38.44442,-120.53194,SINGLE PHASE HARD TAP SE/OF L3539                                                                   ,"Overcast,Fog,Snow;32-90 F                                       ","Conductor, Overhead         ","Broken, wire on ground      ",19-0129963,OH,Sus,Tier 2   
NORTH VALLEY ,CHICO           ,NORD-1106                   ,103071106,FUSE         ,3307,20151213,0745,20151213,1037,1360226,172,Distribution Circuit      ,Vegetation                  ,Tree - branch fell on line           ,265,"43,903",39.75550,-121.87490,MTR# 1007332744                                                                                     ,"Overcast,Fog,Heavy Rain,Strong Winds;32-90 F                    ","Conductor, Overhead         ","Broken, wire on ground      ",15-0084580,OH,Sus,Non 2/3  
NORTH VALLEY ,SHASTA          ,MC ARTHUR-1101              ,103491101,FUSE         ,2191,20160115,0955,20160115,1247,1384455,172,Distribution Circuit      ,Vegetation                  ,Tree - branch fell on line           ,6,"1,032",41.11080,-121.56227,6 SPANS W/OF MTR #1M2612                                                                            ,Partly Cloudy;32-90 F                                           ,"Conductor, Overhead         ","Broken, wire on ground      ",16-0005573,OH,Sus,Non 2/3  
NORTH BAY    ,SILVERADO       ,BAHIA-1105                  ,043251105,TRANSFORMER  ,219545213920,20170118,2038,20170118,2330,1648499,172,Transformer only          ,Vegetation                  ,Tree - fell into line                ,12,"2,064",38.04880,-122.15868,"Griffith/2483: 6 sol cu secondary burned down, crew to replace                                      ","Strong Winds,Overcast,Heavy Rain;32-90 F                        ",Transformer                 ,"Broken, wire on ground      ",17-0010424,OH,Sus,Non 2/3  
NORTH VALLEY ,GLENN           ,JACINTO-1102                ,102851102,RECLOSER     ,85076,20170614,1747,20170614,2039,1804646,172,Distribution Circuit      ,Vegetation                  ,Tree - branch fell on line           ,139,"17,332",39.58344,-122.05559,"Laughlin, Ronald/1016: ROAD 29 AND ROAD V                                                           ",Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",17-0055273,OH,Sus,Non 2/3  
CENTRAL COAST,SALINAS         ,RESERVATION ROAD-1102       ,182731102,FUSE         ,24581,20170621,1215,20170621,1507,1813843,172,Distribution Circuit      ,Vegetation                  ,Tree - fell into line                ,4,688,36.60227,-121.67552,2 SPANS FROM METER 5000122490                                                                       ,Clear;32-90 F                                                   ,Pole-Wood                   ,"Broken, wire on ground      ",17-0057307,OH,Sus,Tier 2   
SACRAMENTO   ,SOLANO          ,VACAVILLE-1108              ,063601108,RECLOSER     ,47860,20170904,1331,20170904,1623,1869807,172,Distribution Circuit      ,Vegetation                  ,Tree - fell into line                ,"1,417","110,884",38.35929,-122.00109,"Pagan, Victor/ 5423: 1 P/N/O SW 5375                                                                ",Partly Cloudy;32-90 F                                           ,"Conductor, Overhead         ","Broken, wire on ground      ",17-0075843,OH,Sus,Non 2/3  
SACRAMENTO   ,YOLO            ,DAVIS-1108                  ,062041108,OCB          ,1108/2                                            ,20190202,0558,20190202,0850,286586,172,Distribution Circuit      ,Vegetation                  ,Tree - branch fell on line           ,"2,617","317,940",38.54530,-121.73395,BETWEEN 229585 & 6789                                                                               ,"Overcast,Rain,Strong Winds;32-90 F                              ","Conductor, Overhead         ","Broken, wire on ground      ",19-0016938,OH,Sus,Non 2/3  
FRESNO       ,FRESNO          ,DUNLAP-1103                 ,254061103,TRANSFORMER  ,420249052870,20150726,1858,20150726,2149,1277596,171,Transformer only          ,Vegetation                  ,Tree - fell into line                ,20,"3,420",36.78232,-118.91753, MTR#1005280297                                                                                     ,Clear;32-90 F                                                   ,Secondary                   ,"Broken, wire on object      ",15-0050580,OH,Sus,Tier 2   
PENINSULA    ,PENINSULA       ,BAY MEADOWS-2102            ,024012102,TRANSFORMER  ,314602738422,20160518,1606,20160518,1857,1472116,171,Transformer only          ,Vegetation                  ,Tree - branch fell on line           ,3,513,37.54045,-122.36273,O`DRISCOLL/ 840 (1673): IRO 1605 WEDGEWOOD HILLSBOROUGH                                             ,Clear;32-90 F                                                   ,Secondary                   ,"Broken, wire on ground      ",16-0036860,OH,Sus,Non 2/3  
YOSEMITE     ,STANISLAUS      ,RIVERBANK-1715              ,163191715,FUSE         ,27249,20170308,1109,20170308,1400,1722496,171,Distribution Circuit      ,Vegetation                  ,Tree - fell into line                ,1,171,37.73997,-120.97402,MTR# 1004540562                                                                                     ,Partly Cloudy;32-90 F                                           ,"Conductor, Overhead         ","Broken, wire on ground      ",17-0029368,OH,Sus,Non 2/3  
LOS PADRES   ,SANTA MARIA     ,FAIRWAY-1104                ,182061104,RECLOSER     ,M38                                               ,20181004,1326,20181004,1617,188411,171,Distribution Circuit      ,Vegetation                  ,Tree - fell into line                ,959,"116,187",34.87934,-120.43673,1 SPAN N/OF 6795                                                                                    ,Partly Cloudy;32-90 F                                           ,"Conductor, Overhead         ","Broken, wire on ground      ",18-0086854,OH,Sus,Non 2/3  
HUMBOLDT     ,FORTUNA         ,RIO DELL-1102               ,192251102,FUSE         ,3955,20190518,1324,20190518,1615,384264,171,Distribution Circuit      ,Vegetation                  ,Tree - branch fell on line           ,52,"7,888",40.42570,-123.97018,1 SPAN SOURCE SIDE OF FUCO 3881                                                                     ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",19-0053673,OH,Sus,Non 2/3  
HUMBOLDT     ,UKIAH           ,LAYTONVILLE-1102            ,042681102,JUMPER       ,OJ'S 2 SPANS SS OF MTR#1009715881                 ,20160120,1100,20160120,1350,1388559,170,Distribution Circuit      ,Vegetation                  ,Tree - fell into line                ,1,170,39.58390,-123.44344,SAME                                                                                                ,Partly Cloudy;32-90 F                                           ,"Conductor, Overhead         ","Broken, wire on ground      ",16-0006850,OH,Sus,Tier 2   
NORTH VALLEY ,TEHEMA          ,GERBER-1102                 ,103391102,FUSE         ,49757,20160131,1615,20160131,1905,1395178,170,Distribution Circuit      ,Vegetation                  ,Tree - fell into line                ,3,510,40.08590,-122.17376,MTR 1008226799                                                                                      ,Partly Cloudy;32-90 F                                           ,Service conductor           ,"Broken, wire on ground      ",16-0009516,OH,Sus,Non 2/3  
YOSEMITE     ,STANISLAUS      ,RIVERBANK-1715              ,163191715,FUSE         ,6793,20170119,1410,20170119,1700,1651504,170,Distribution Circuit      ,Vegetation                  ,Tree - branch fell on line           ,1,170,37.74051,-120.95876,22549 BURWOOD RD RIVERBANK                                                                          ,"Partly Cloudy,Drizzle;32-90 F                                   ","Conductor, Overhead         ","Broken, wire on ground      ",17-0010982,OH,Sus,Non 2/3  
CENTRAL COAST,SALINAS         ,RESERVATION ROAD-1101       ,182731101,OTHER        ,WIRE DWN 1 S/OF 24857                             ,20170223,1340,20170223,1655,1712101,170,Distribution Circuit      ,Vegetation                  ,Tree - fell into line                ,91,"8,595",36.55044,-121.67504,WIRE DWN 1 S/OF 24857                                                                               ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",17-0026021,OH,Sus,Tier 2   
HUMBOLDT     ,GARBERVILLE     ,GARBERVILLE-1101            ,192221101,RECLOSER     ,97300,20170714,0840,20170714,1130,1831321,170,Distribution Circuit      ,Vegetation                  ,Tree - fell into line                ,444,"59,880",39.97234,-123.80084,7 SPANS LD SIDE OF LR 1770 OR SOUTH OF                                                              ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",17-0062865,OH,Sus,Tier 2   
CENTRAL COAST,HOLLISTER       ,HOLLISTER-2104              ,182492104,FUSE         ,9609,20171105,0720,20171105,1010,1916277,170,Distribution Circuit      ,Vegetation                  ,Tree - branch fell on line           ,33,"5,610",36.89381,-121.35377,"PATTERSON, MICHAEL: 631 Rosa Morada                                                                 ",Clear;32-90 F                                                   ,"Conductor, Overhead         ",On Ground                   ,17-0092720,OH,Sus,Non 2/3  
SONOMA       ,SANTA ROSA      ,SONOMA-1105                 ,042721105,FUSE         ,1355,20180703,1705,20180703,1955,124138,170,Distribution Circuit      ,Vegetation                  ,Tree - fell into line                ,184,"21,270",38.28707,-122.41888,3303 WOOD VALLEY RD                                                                                 ,Clear;32-90F                                                    ,Secondary                   ,On Ground                   ,18-0056848,OH,Sus,Tier 2   
NORTH BAY    ,NORTH BAY       ,SAN RAFAEL-1106             ,042011106,TRANSFORMER  ,314180054529,20181228,1155,20181228,1445,248836,170,Transformer only          ,Vegetation                  ,Tree - branch fell on line           ,12,"2,040",37.98035,-122.52048,R/O 11 ELM ST                                                                                       ,"Strong Winds,Clear;32-90 F                                      ","Conductor, Overhead         ","Broken, wire on ground      ",18-0110973,OH,Sus,Non 2/3  
HUMBOLDT     ,UKIAH           ,PHILO-1101                  ,042601101,JUMPER       ,OJ'S/13/PLOES FROM 785                            ,20190119,1711,20190119,2001,276837,170,Distribution Circuit      ,Vegetation                  ,Tree - fell into line                ,1,170,39.05241,-123.43673,@ 215906450846                                                                                      ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",19-0012159,OH,Sus,Tier 2   
PENINSULA    ,PENINSULA       ,WOODSIDE-1104               ,024251104,TRANSFORMER  ,314893334614,20171127,0823,20171127,1112,1929889,169,Transformer only          ,Vegetation                  ,Tree - grew into line                ,10,"1,690",37.43749,-122.26002,O`DRISCOLL/ 840 (1673): IFO 148 ALTA VISTA WD                                                       ,Clear;32-90 F                                                   ,Secondary                   ,"Broken, wire on ground      ",17-0097731,OH,Sus,Non 2/3  
NORTH VALLEY ,TEHEMA          ,CORNING-1101                ,103331101,FUSE         ,58051,20180427,1401,20180427,1650,75513,169,Distribution Circuit      ,Vegetation                  ,Tree - branch fell on line           ,2,338,39.95805,-122.28843,1 LD SIDE OF 58051                                                                                  ,Partly Cloudy;32-90 F                                           ,"Conductor, Overhead         ","Broken, wire on ground      ",18-0036356,OH,Sus,Non 2/3  
YOSEMITE     ,YOSEMITE        ,SANTA RITA-1105             ,253541105,TRANSFORMER  ,319707120145,20150727,1003,20150727,1251,1277803,168,Transformer only          ,Vegetation                  ,Tree - branch fell on line           ,4,672,37.05338,-120.60098,Stewart / 2037 / 675-0335: ne 24 10 12                                                              ,Clear;32-90 F                                                   ,"Conductor, Overhead         ",On Ground                   ,15-0050666,OH,Sus,Non 2/3  
PENINSULA    ,PENINSULA       ,WOODSIDE-1101               ,024251101,JUMPER       ,WIRE  DOWN  5/P/LD/SIDE  8601                     ,20170107,1033,20170107,1321,1621574,168,Distribution Circuit      ,Vegetation                  ,Tree - branch fell on line           ,42,"6,936",37.43919,-122.32487,LD  SIDE  8601                                                                                      ,"Overcast,Drizzle,Strong Winds;32-90 F                           ","Conductor, Overhead         ","Broken, wire on ground      ",17-0004648,OH,Sus,Tier 3   
HUMBOLDT     ,EUREKA          ,HARRIS-1109                 ,192431109,FUSE         ,6259,20170122,1343,20170122,1631,1661587,168,Distribution Circuit      ,Vegetation                  ,Tree - branch fell on line           ,17,"2,856",40.77091,-124.07216,LD SIDE OF 6259                                                                                     ,"Overcast,Drizzle;32-90 F                                        ","Conductor, Overhead         ","Broken, wire on ground      ",17-0013256,OH,Sus,Tier 2   
CENTRAL COAST,COAST           ,POINT MORETTI-1101          ,082931101,FUSE         ,8983,20180318,1112,20180318,1400,47315,168,Distribution Circuit      ,Vegetation                  ,Tree - branch fell on line           ,48,"8,064",37.03088,-122.14300,4201 SMITH GRADE                                                                                    ,Partly Cloudy;32-90 F                                           ,"Conductor, Overhead         ","Broken, wire on ground      ",18-0023893,OH,Sus,Tier 3   
